ID del artículo,Nombre del artículo,Compatibilidad,Precio Lista ( U$D),Precio Venta (ARS),Stock,Estado,Origen,Pasillo,Notas
91503-SZ3-003-IMP,Grampa de paragolpe,Todos,$0.13,"$1,300.00",799,,TAI,,
12342-P2F-A01/RYE-IMP,Sello de bujia,Varios,$0.94,"$4,500.00",160,,JAP,,
12342-PG6-000-IMP,Sello de bujia,Varios,$0.35,"$4,500.00",160,,JAP,,
12342-PT0-000-IMP,Sello de bujia,Accord 90/97,$0.42,"$2,478.00",100,,JAP,,
12210-PZ1-004-IMP,Juego de retenes de valvulas,Varios,$0.28,"$40,000.00",64,,JAP,,
12211-PZ1-004-IMP,Reten de valvula,CIVIC 88-00 ,$0.31,"$1,829.00",64,,JAP,,
90442-PR3-000-IMP,Arandela tapa de valvulas,C/92-95,$0.58,"$2,500.00",56,,JAP,,
17139-PK1-000-IMP,Buje goma valvula PCV,,$0.36,"$5,500.00",40,,JAP,,
30110-PA1-732-IMP,O-RING,CIVIC 88-00 AccordORD 84-02,$0.60,"$3,540.00",40,,JAP,,
90442-P2A-000-IMP,Arandela tapa de valvulas,C/96/00,$0.39,"$2,301.00",40,,TAI,,
91508-SR3-000-IMP,CLIP COLW TOP,CIVIC 92-00,$0.33,"$1,947.00",40,,TAI,,
12341-PNA-000/RAA/RTA-IMP,VALV COV GKT,CR-V 02-6/Accord03-05 RAA/RTA,$2.00,"$11,800.00",32,,TAI,,
15845-RAA-A01-IMP,Conjunto filtro valvula spool,AccordORD 08-12,$1.09,"$6,431.00",32,,TAI,,
19045-P08-013/CER-331-IMP,Tapa de radiador,Civic 92-00 + CR-V + Accord 94-00,$2.37,"$20,000.00",32,,JAP,,
19301-P08-316-IMP,Termostato,CIVIC 88-00,$5.56,"$32,804.00",32,,JAP,,
91205-PL3-A01-IMP,Reten de aceite 35x56x8,CIVIC 84-05 4D,$3.18,"$18,762.00",32,,JAP,,
91212-PLC-003/4-IMP,Reten de aceite 38x50x7,CIVIC 01-05,$1.35,"$7,965.00",32,,JAP,,
91212-PT0-003/P0A-IMP,Reten de aceite 40x52x7,AccordORD 90-02,$2.65,"$15,635.00",14,,JAP,,
91212-R1B-A01-IMP,Reten de aceite 43x58x7,Civic 06-15,$1.53,"$9,027.00",32,,JAP,,
91213-PD2-004/P2F-IMP,Reten de aceite 29x45x8,Accord84/89 Civic 84/97,$1.61,"$9,499.00",30,,JAP,,
91213-PT0-004-IMP,Reten de arbol de levas,Accord 90-00,$1.61,"$12,000.00",10,,JAP,,
91214-PNA-014/RTA-IMP,Reten de bancada 80x 98x10,CR-V 2003 - 2006,$4.46,"$28,000.00",32,,JAP,,
11251-P01-004/PE0-IMP,Junta de carter,,$2.49,"$14,691.00",16,,TAI,,
11251-P2A-014-IMP,Junta de carter de aceite,"CIVIC 96-05,SEDAN,COUPE",$2.61,"$15,399.00",16,,TAI,,
11251-P30-004-IMP,Junta de carter,,$2.17,"$38,000.00",16,,TAI,,
12341-P08-000-IMP,Junta de tapa de valvulas,Civic 92-95 americano,$2.19,"$18,000.00",16,,TAI,,
12341-P0A-000-IMP,Junta de tapa de valvulas,Accord 94-00,$2.09,"$18,000.00",16,,TAI,,
12341-P2A-000/P2F-IMP,Junta de tapa de valvulas,CIVIC 96-00,$2.06,"$12,154.00",12,,TAI,,
12341-PLC-000-IMP,Junta de tapa de valvulas,CIVIC 01/05,$2.12,"$12,508.00",16,,TAI,,
12341-PWA-000-IMP,Junta de tapa de valvulas,FIT,$2.09,"$12,331.00",16,,TAI,,
12341-RB0-003-IMP,Junta de tapa de valvulas,FIT 09/12,$4.43,"$26,137.00",16,,JAP,,
12341-RNA-A01-IMP,Junta de tapa de valvulas,CIVIC 06-11,$2.31,"$24,000.00",16,,TAI,,
15815-RAA-A02-IMP,Conjunto filtro valvula spool,,$6.56,"$38,704.00",16,,JAP,,
17225-R1A-A01-IMP,AIR TUBE,CIVIC 12-15,$5.08,"$29,972.00",16,,CHI,,
19305-PC6-000/P506-IMP,Junta de termostato,AccordORD 84-89,$1.14,"$6,726.00",16,,JAP,,
30103-PT2-016/YR612E-IMP,Rotor de distribuidor,AccordORD 90-93/YR612E,$2.49,"$14,691.00",16,,JAP,,
37760-P00-004/BS704-IMP,Bulbo electroventilador,Civic 92-00,$8.18,"$54,800.00",16,,JAP,,
39400-SM4-003-IMP,RELAY FUEL,Accord90/97 CV 92/95 PLDE 92/9,$13.64,"$82,000.00",16,,TAI,,
91206-PL3-A01-IMP,Reten de aceite 35x62x8,CIVIC 88-95,$2.28,"$13,452.00",16,,JAP,,
91212-PR3-003-IMP,Reten de aceite 38x50x7.4,"CR-V 97-01,Civic.99-00",$2.89,"$17,051.00",16,,JAP,,
91214-PAA-A01/PLE-IMP,Reten de aceite 80x100x10,"AccordORD,CIVIC",$4.29,"$25,311.00",16,,JAP,,
11251-PT0-000/P0A-IMP,Junta de carter de aceite,AccordORD 90-97,$3.87,"$22,833.00",8,,JAP,,
12341-RAA-A00-IMP,Junta de tapa de valvulas,Accord 03-07 PNA/RTA,$2.62,"$15,458.00",8,,TAI,,
15825-P08-015-IMP,Filtro valvula spool,CIVIC 92-95,$3.51,"$20,709.00",8,,TAI,,
17105-P00-T03-IMP,Junta de admisión,Civic 92-00,$2.44,"$19,200.00",4,,JAP,,
19030-RZA-A01-IMP,Motor electro de radiador,CR-V 07-09,$22.27,"$131,393.00",1,,TAI,,
19045-PT0-004/CER-111-IMP,Tapa de radiador,Accord 90-93 + reparados,$2.31,"$20,000.00",8,,JAP,,
19320-P2A-000-IMP,Base de termostato,Civic 96/00,$20.60,"$96,200.00",8,,TAI,,
22810-P20-003-IMP,Ruleman de empuje,Civic 92+,$8.44,"$40,500.00",8,,JAP,,
36750-SE0-013-IMP,Interruptor de stop y cruise,A 90/97/C 92/95,$5.47,"$32,273.00",1,,TAI,,
19030-R5A-A01/MOTOR-IMP,Motor electro de aire acondicionado (solo motor),CR-V 12/14,$30.12,"$177,708.00",6,,TAI,,
04145-PLC-IMP,Tensor de correa de distribución,Civic 01-05,,,,,,,
04717-SWA-IMP,Puntera de paragolpe trasero derecha,CR-V 2008,,,,,,,
04717-T0A-IMP,Puntera de paragolpe trasera derecho,,,,,,,,
04718-SWA-IMP,Puntera de paragolpe trasero izquierda,,,,,,,,
04718-T0A-IMP,Puntera de paragolpe trasera izquierda,,,,,,,,
06110-689-IMP,Juntas de motor (juego),,,,,,,,
